UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,FAXTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,F1SYSCOD,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG
215293,"University of Pittsburgh-Pittsburgh Campus","4200 Fifth Avenue","Pittsburgh","PA","15260",42, 2,"Mark A Nordenberg","Chancellor and Chief Executive Officer","4126244141"," ","250965591","00337900",1,"www.pitt.edu","www.oafa.pitt.edu","www.oafa.pitt.edu/fahome.aspx","www.oafa.pitt.edu/applying.aspx","www.npc.pitt.edu/pittsburgh/npcalc.htm",1,1,1,9,1,1,11,1,2,2,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,8,14,13,5,16,15,2,5,38300,1,430,-2,1,"University of Pittsburgh","142070",42003,"Allegheny County",4214,-79.954692,40.444502,125,1
217156,"Brown University","One Prospect Street","Providence","RI","02912",44, 1,"Christina Paxson","President","4018631000"," ","050258809","00340100",1,"www.brown.edu","www.brown.edu/Administration/Admission/","www.brown.edu/about/administration/financial-aid/","https://www.commonapp.org","npc.collegeboard.org/student/app/brown",2,1,2,9,1,1,11,1,2,2,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,5,14,12,5,14,15,2,3,39300,1,148,77200,2," ","-2",44007,"Providence County",4401,-71.404467,41.827605,127,1
227757,"Rice University","6100 S Main","Houston","TX","77005-1827",48, 6,"David W. Leebron","President","7133480000"," ","741109620","00360400",1,"www.rice.edu","futureowls.rice.edu/home.aspx","financialaid.rice.edu/","futureowls.rice.edu/futureowls/Apply.asp","rice.studentaidcalculator.com/survey.aspx",2,1,2,9,1,1,12,1,2,2,2,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,8,15,12,5,14,15,2,3,26420,1,288,-2,2," ","-2",48201,"Harris County",4802,-95.403625,29.716485,127,1
228723,"Texas A & M University-College Station","805 Rudder Tower","College Station","TX","77843-1244",48, 6,"Mark A. Hussey","Interim President","9798453211","9798478737","746000531","00363200",1,"www.tamu.edu","admissions.tamu.edu","financialaid.tamu.edu","admissions.tamu.edu/freshmen/default.aspx","www.collegeforalltexans.com/apps/CollegeMoney/",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"Texas A&M | TAMU",2,15,11,14,12,4,15,15,1,5,17780,1,-2,-2,1,"Texas A&M University System","148020",48041,"Brazos County",4817,-96.340322,30.613226,125,1
228778,"The University of Texas at Austin","2400 Inner Campus Drive","Austin","TX","78712",48, 6,"William Powers, Jr.","President","5124713434"," ","746000203","00365800",1,"www.utexas.edu","www.utexas.edu/student/admissions","finaid.utexas.edu","bealonghorn.utexas.edu/services/apply/apply/index.html","www.collegeportraits.org/TX/UTAustin/",1,1,1,9,1,1,11,1,2,2,2,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1,"UT Austin |University of Texas",2,15,11,15,13,4,15,15,2,5,12420,1,-2,-2,1,"The University of Texas System","148060",48453,"Travis County",4825,-97.737279,30.284733,125,1
230764,"University of Utah","201 Presidents Circle, ROOM 203","Salt Lake City","UT","84112-9008",49, 7,"David W. Pershing","President","8015817200"," ","876000525","00367500",1,"www.utah.edu","www.sa.utah.edu/admiss/","www.sa.utah.edu/finance/","https://www.acs.utah.edu/prod/bin/student/admission-application?targetPage=AdmApplicationInformationPage&cmd=init","www.obia.utah.edu/content/vsa_ccc/npcalc.htm",1,1,1,9,1,1,11,1,2,1,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"The U",2,15,11,14,8,5,15,15,2,5,41620,1,482,-2,1,"Utah System of Higher Education","149020",49035,"Salt Lake County",4902,-111.846044,40.762484,125,1
233921,"Virginia Polytechnic Institute and State University","222 Burruss Hall","Blacksburg","VA","24061-0131",51, 5,"Charles W. Steger","President","5402316000"," ","546001805","00375400",1,"WWW.VT.EDU","www.admiss.vt.edu","www.finaid.vt.edu","www.admiss.vt.edu/apply/apply_online.php","www.apps.finaid.vt.edu/apps/NPC/npcalc.htm",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"Virginia Tech",2,15,11,17,12,4,16,15,1,5,13980,1,-2,-2,2," ","-2",51121,"Montgomery County",5109,-80.423267,37.228561,125,1
234076,"University of Virginia-Main Campus","1827 University Avenue","Charlottesville","VA","22903-2628",51, 5,"Teresa A. Sullivan","President","4349240311","4349243587","546001796","00374500",1,"www.virginia.edu/","www.admission.virginia.edu/","www.virginia.edu/financialaid/","www.virginia.edu/undergradadmission/apply.html","npc.collegeboard.org/student/app/virginia",1,1,1,9,1,1,11,1,2,1,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"University of Virginia |UVa |UVA",2,15,8,14,12,5,16,15,2,5,16820,1,-2,-2,2," ","-2",51540,"Charlottesville city",5105,-78.502599,38.036546,126,1
236948,"University of Washington-Seattle Campus","1400 NE Campus Parkway","Seattle","WA","98195-4550",53, 8,"Michael Young","President","2065432100"," ","160001537","00379800",1,"www.washington.edu","admit.washington.edu/admission/","www.washington.edu/students/osfa/","admit.washington.edu/admission/","www.washington.edu/students/osfa/prospectiveug/aid.est.1.html",1,1,1,9,1,1,11,1,2,1,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1,"UW-Seattle, UDub, UW, Washington",2,15,8,14,12,5,15,15,2,5,42660,1,500,-2,1,"University of Washington","153010",53033,"King County",5307,-122.313115,47.656213,125,1
240444,"University of Wisconsin-Madison","500 Lincoln Dr","Madison","WI","53706-1380",55, 3,"Rebecca Blank","Chancellor","6082621234"," ","396006492","00389500",1,"www.wisc.edu","www.wisc.edu/admissions/","www.finaid.wisc.edu/","www.admissions.wisc.edu/applyOnline.php","www.finaid.wisc.edu/award-estimator.php",1,1,1,9,1,1,11,1,2,2,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,8,14,12,5,16,15,1,5,31540,1,357,-2,1,"University of Wisconsin System","155010",55025,"Dane County",5502,-89.405356,43.073858,125,1
243744,"Stanford University"," ","Stanford","CA","94305", 6, 8,"John L Hennessy","President","6507232300"," ","941156365","00130500",1,"www.stanford.edu/","admission.stanford.edu/","www.stanford.edu/dept/finaid/","www.stanford.edu/dept/uga/application/freshman/apply.html","www.stanford.edu/dept/finaid/undergrad/how/calculator/",2,1,2,9,1,1,11,1,2,1,1,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,5,14,12,6,17,15,2,4,41940,1,488,-2,2," ","-2",6085,"Santa Clara County",618,-122.182212,37.431746,127,1
243780,"Purdue University-Main Campus","Hovde Hall of Administration","West Lafayette","IN","47907-2040",18, 3,"Mitch Daniels","President","7654944600"," ","356002041","00182500",1,"www.purdue.edu","www.purdue.edu/purdue/admissions/index.html","www.purdue.edu/dfa/","admissions.purdue.edu/apply_now/apply_now.html","www.purdue.edu/DFA/estimator",1,1,1,9,1,1,11,1,2,2,1,2,22,1,"A ",-2,-2,"-2",1,1,1,1,1,"Purdue-West Lafayette|Purdue|PU|Purdue-WL",2,15,14,14,12,4,16,15,1,5,29200,1,320,-2,1,"Purdue University","118070",18157,"Tippecanoe County",1804,-86.914435,40.428206,125,1
